"","Title","Genre","Revenue (Millions)","Rating"
"261","Nymphomaniac: Vol. I","Other",0.79,7
"262","Teenage Mutant Ninja Turtles: Out of the Shadows","Action",0.54,6
"263","Knock Knock","Other",0.03,4.9
"264","Dirty Grandpa","Comedy",35.54,6
"265","Cloud Atlas","Other",27.1,7.5
"266","X-Men Origins: Wolverine","Action",179.88,6.7
"267","Satanic","Horror",NA,3.7
"268","Skyfall","Action",304.36,7.8
"269","The Hobbit: An Unexpected Journey","Adventure",303,7.9
"270","21 Jump Street","Action",138.45,7.2
"271","Sing Street","Comedy",3.23,8
"272","Ballerina","Animation",NA,6.8
"273","Oblivion","Action",89.02,7
"274","22 Jump Street","Action",191.62,7.1
"275","Zodiac","Crime",33.05,7.7
"276","Everybody Wants Some!!","Comedy",3.37,7
"277","Iron Man Three","Action",408.99,7.2
"278","Now You See Me","Crime",117.7,7.3
"279","Sherlock Holmes","Action",209.02,7.6
"280","Death Proof","Other",NA,7.1
"281","The Danish Girl","Other",12.71,7
"282","Hercules","Action",72.66,6
"283","Sucker Punch","Action",36.38,6.1
"284","Keeping Up with the Joneses","Action",14.9,5.8
"285","Jupiter Ascending","Action",47.38,5.3
"286","Masterminds","Action",17.36,5.8
"287","Iris","Other",NA,6.1
"288","Busanhaeng","Action",2.13,7.5
"289","Pitch Perfect","Comedy",65,7.2
"290","Neighbors 2: Sorority Rising","Comedy",55.29,5.7
"291","The Exception","Other",NA,7.7
"292","Man of Steel","Action",291.02,7.1
"293","The Choice","Other",18.71,6.6
"294","Ice Age: Collision Course","Animation",64.06,5.7
"295","The Devil Wears Prada","Comedy",124.73,6.8
"296","The Infiltrator","Other",15.43,7.1
"297","There Will Be Blood","Other",40.22,8.1
"298","The Equalizer","Action",101.53,7.2
"299","Lone Survivor","Action",125.07,7.5
"300","The Cabin in the Woods","Horror",42.04,7
"301","The House Bunny","Comedy",48.24,5.5
"302","She's Out of My League","Comedy",31.58,6.4
"303","Inherent Vice","Comedy",8.09,6.7
